Frequency (MHz),I_mean (Jy),I_serror (Jy),Q_mean (Jy),Q_serror (Jy),U_mean (Jy),U_serror (Jy),V_mean (Jy),V_serror (Jy)
1311.845250000000,5.972966620657179,0.003622287608941220,0.1055079388380465,0.002890655069911520,-0.09692616412802535,0.003195302284332898,0.02542963589888435,0.003591172237153704
1311.855300000000,6.122097306781345,0.003405930705506884,0.3129419169492192,0.003448450914734442,-0.09427723882300698,0.003748600147931427,0.02569223804186752,0.003123209716518512
1311.865350000000,5.864113759994507,0.003260122089899815,0.3813227034277386,0.003575602456897857,-0.09064402195751124,0.003242189908050900,0.02431897781809514,0.003144929617788818
1311.875400000000,5.995609548356798,0.003183572468913916,0.1747837991557188,0.003459184690351534,-0.09046924365813741,0.003284774410626328,0.02859805087472422,0.003198876072505390
1311.885450000000,6.004807625876532,0.003375154834992255,0.3482864090965854,0.002976654283330196,-0.09394904489810062,0.003444315781584535,0.02935169698187868,0.003422910542255558
1311.895500000000,5.787216213014391,0.003024777542259711,0.1069060176455726,0.003062267831782675,-0.08970222306411921,0.003158603417771433,0.02675782349118284,0.003103069959316110
1311.905550000000,5.834913629955715,0.003204415840892037,0.09091195257238319,0.002978289673211277,-0.09092935376490156,0.003449469864980847,0.02758502477586768,0.003329269621775939
1311.915600000000,6.072478704982334,0.003287184130560361,0.3825245786872175,0.002973434141921892,-0.09474771606910508,0.003379158583659974,0.02922146519708298,0.003221616027473586
1311.925650000000,5.887648794386122,0.003101278760302925,0.02605822167954304,0.003035673910966152,-0.09164144372464054,0.003426905101303307,0.03314820174867539,0.003071463837892477
1311.935700000000,6.130295851495531,0.003311938945417073,0.2663870530823866,0.003105299257008922,-0.1001923859222896,0.003391506329426869,0.03087753885293851,0.003449469925833018
1311.945750000000,6.093766747580634,0.003235866063671889,0.1718880281473200,0.003215899531125584,-0.09668655801667936,0.003257628930935379,0.03234517931822564,0.003401294473146077
1311.955800000000,5.981878134939405,0.003314585570430077,0.4121306830810176,0.003641705059719137,-0.09790349869613743,0.002796537258785259,0.02974696165866691,0.003280163854402321
1311.965850000000,6.075842123561435,0.003349279793900084,0.1140819392762043,0.003334426449749506,-0.09695449262572867,0.003347327585615007,0.03730814195393274,0.003328800019352332
1311.975900000000,6.073484754562378,0.003270459962280169,0.4067854254610009,0.003417929174428264,-0.1027095623068615,0.003199934638430435,0.03499901776526208,0.003175651482641526
1311.985950000000,5.836070640881856,0.003365190615574843,0.2957299222548803,0.003572090532724423,-0.09439093178241617,0.003166767162922561,0.02842673241090476,0.003040000496245778
1311.996000000000,6.070156905386183,0.002968758389636258,0.2877276012467013,0.003274981636725822,-0.09626311515975329,0.003444766843277240,0.03570291904832427,0.003477561237123094
1312.006050000000,5.989513487286038,0.003044767147367459,0.3242855548858642,0.003318331016910945,-0.09583589726915104,0.003316815559261616,0.03065753126546850,0.003416636532843924
1312.016100000000,5.907541383637322,0.003250994023890011,0.4581600355605284,0.003368085607522362,-0.09849010258524989,0.003248691408358258,0.03659469181992689,0.002964269966302986
1312.026150000000,5.936699742741055,0.003320208976872352,0.2634869467053149,0.002900638399736973,-0.09594281709950236,0.002987528211692668,0.03637560868216193,0.003450879498842538
1312.036200000000,6.129033745659722,0.003499311966159601,0.2861670610805352,0.003467742316037376,-0.09632685322624941,0.002884758496929772,0.03680516107936758,0.003369730220159578
1312.046250000000,5.863103124830458,0.003229744282702427,0.1896144237783220,0.003602752715246246,-0.09536491422331891,0.003299656282531391,0.03459056029371115,0.003051520824066647
1312.056300000000,6.088190974129571,0.003021271072131997,0.1739366844516351,0.003420726498151228,-0.09849850220036589,0.003139993336859429,0.03641211834979509,0.003170834249622238
1312.066350000000,6.009174063470629,0.003037603831916829,0.2514764202137788,0.003098643306692429,-0.09330374066671034,0.003257097096406443,0.03473220112456248,0.003131614172377156
1312.076400000000,5.840700711144342,0.003005614617512903,0.2179365662237008,0.003469524926416282,-0.09422527333824998,0.003336700922352724,0.03462337703858794,0.003091666148370554
1312.086450000000,6.040035186873542,0.003406988787060233,0.2279997929516766,0.003255436706088629,-0.09672624705255860,0.003732643626673623,0.03214134051607592,0.003300420933914311
1312.096500000000,6.060630027453104,0.003437057476257896,0.3807285549739997,0.003456723896239224,-0.09213791161827330,0.003426395707411716,0.03691061096980977,0.003054408675562284
1312.106550000000,6.013637683126661,0.003120998487597013,0.2808254365291860,0.003193999225047813,-0.09882210397368504,0.003139208216999786,0.04072950780735280,0.003126263277662181
1312.116600000000,5.994326983557807,0.003377746145164994,0.3480845555663109,0.003429437961879174,-0.09208974643972599,0.003437789968237789,0.04605501890247170,0.003258242900373404
1312.126650000000,6.016097622447544,0.003370754858693263,0.4608361072838306,0.003126330414050780,-0.09644776112205970,0.003356534385383347,0.03773088659222089,0.003187836675623603
1312.136700000000,5.961465679274665,0.003282729326190022,0.2610330035289128,0.002886586282618235,-0.09699244423878149,0.003167645612912662,0.03650006732580854,0.003118571120610438
1312.146750000000,5.975863009028965,0.003101791731298236,0.1477855203880204,0.002922582583889731,-0.09487102534492603,0.002854699479892864,0.03604805831568633,0.003084852019788742
1312.156800000000,5.882029912206861,0.003183867677519747,0.07937482798329762,0.002895017026699871,-0.08994451639527042,0.003555111621824270,0.03632793230980395,0.003306074125077353
1312.166850000000,5.865418627527025,0.003304761798176996,0.1079964311896927,0.003319020004599440,-0.09577531959770971,0.003079844843301387,0.03785996791933333,0.003111201813390071
1312.176900000000,5.937868025567797,0.003206007210584366,0.03897865964293790,0.003326016692569914,-0.09256071886823823,0.003606156543666436,0.04202187503069581,0.002945044247089263
1312.186950000000,5.936701771948073,0.003184179587246402,0.2296767729851935,0.003251256177906120,-0.09367279251034941,0.003416242839779149,0.04228340853474543,0.002961333702652224
1312.197000000000,5.830400008625454,0.003157746153033902,0.1298913111082382,0.003231514791045810,-0.09173940656344509,0.003152646952219964,0.03595323908876556,0.003127104527581015
1312.207050000000,5.985943775706821,0.003226882718853419,0.3162775645653407,0.003470482098172011,-0.09740180499437782,0.003082123853972065,0.04235775565567666,0.003029487167456545
1312.217100000000,6.075165250566271,0.003059011193391888,0.1352515049071775,0.003288214063950210,-0.09431401387038123,0.003099791295018899,0.03589714721072394,0.003296840732441506
1312.227150000000,5.986200785636902,0.003358085693597387,0.2138114676707321,0.003348531715619019,-0.09292382708388484,0.003387518161007652,0.04592443182126671,0.003160349571670989
1312.237200000000,5.956026615036858,0.003316851239623885,0.3379342944257789,0.003713534102459066,-0.09731729853536106,0.003080134645479077,0.03750218704149625,0.003337158236976204
1312.247250000000,6.105336446232266,0.003219419996185682,0.2215677762611045,0.003605007213136387,-0.1005392472534570,0.003346297025185542,0.04298621609814290,0.003749074783550844
1312.257300000000,6.062720314661662,0.003158738932852725,0.4019221700727940,0.003150446047933000,-0.09936729868382423,0.003086629085159544,0.04498617134066889,0.003397070978139282
1312.267350000000,5.970198019345601,0.003339969207775005,0.1948377781030204,0.003135474142137756,-0.09736028688300090,0.003611315556123429,0.04487149175958823,0.003531012733912676
1312.277400000000,6.002837236722311,0.003050045077560870,0.1717925557763212,0.003210587745775352,-0.09512127406261343,0.003251840766771415,0.03756984385921290,0.003266325323024496
1312.287450000000,5.943932562404209,0.003343853105134119,0.2608383817805184,0.003220182514351747,-0.09754734502898323,0.002990768319403727,0.04384850408350758,0.003455254350867475
1312.297500000000,5.875013465351529,0.003238350704508029,0.3243616549505128,0.003318552086245478,-0.1046794236146120,0.003292719004305045,0.04099335864904990,0.003294177133999886
1312.307550000000,5.936378441916572,0.003001556080929012,0.2413300168183115,0.003392403261139401,-0.09515224579307768,0.002895908618159462,0.04475222434383694,0.003068549698607869
1312.317600000000,6.079781222343445,0.003420152340605272,0.2731086568699942,0.003222294477792484,-0.09737777165137232,0.003274816288809573,0.04604820149527061,0.003455462418064767
1312.327650000000,5.888822809855143,0.003517087992686356,0.2431760035869148,0.003406530652006992,-0.09959065238686485,0.003151414552526467,0.04703079050311013,0.003267048469940164
1312.337700000000,6.015450419320000,0.003448657922137776,-0.003210102430279626,0.003184319051223781,-0.09842037143470306,0.003317299116512863,0.03988523443012026,0.003201327107550215
1312.347750000000,5.931277810202705,0.003192761698787132,0.08285342568221192,0.003199667012160798,-0.09782809949376517,0.003073863641327705,0.03898661093606077,0.003361823293232621
1312.357800000000,6.021407818794250,0.003300344467211196,0.1264071778394282,0.003385449683795387,-0.1041159810123241,0.003385238454794271,0.04246515452125298,0.003225505675196172
1312.367850000000,5.925952021280924,0.003379509955660519,0.1279571116591493,0.003182452545994247,-0.09374387733534806,0.003201794519832676,0.03850262094755534,0.003635300682462090
1312.377900000000,6.075029203626845,0.003099434488027957,0.2537387501862314,0.003172126243247449,-0.09978774513389604,0.003047980861390590,0.04504768315538159,0.003315014843314135
1312.387950000000,5.995922880702548,0.003261194861473632,0.1753666989505291,0.003142881854906375,-0.1059268866329350,0.003516909744498885,0.04574161997123964,0.003409720572087027
