Time (s),I_mean (Jy),I_serror (Jy),Q_mean (Jy),Q_serror (Jy),U_mean (Jy),U_serror (Jy),V_mean (Jy),V_serror (Jy)
0.000000000000000,5.373200999809518,0.002720201189153942,0.2683225505084029,0.001855800164948917,0.04671670391966552,0.0008252863357708613,0.009654809146435366,0.0007752466716035892
1.000099502487562,5.372087766853108,0.002736010528277252,0.2691083323018735,0.001838053142684763,0.04731215336011878,0.0008319541263110061,0.01071293490946950,0.0007971462074938412
2.000199004975124,5.373660158497032,0.002731693136910245,0.2686907309704661,0.001808477286440390,0.04654224952567672,0.0008689446684700199,0.01120881326541522,0.0008083886203218500
3.000298507462686,5.375320878658137,0.002795695765423123,0.2698836175283765,0.001887703478300287,0.04783904158624447,0.0008323602064932208,0.009811873272802502,0.0008097702428445811
4.000398009950248,5.360514207839966,0.002705527831483943,0.2538666623177683,0.001868624991446087,0.04670724716394387,0.0008524940843536043,0.009742551103151515,0.0008045662853788328
5.000497512437811,5.376256444089048,0.002787077257862809,0.2665360836407347,0.001869212356979048,0.04708092438414208,0.0008547369636328971,0.01039097756018376,0.0007834934120676937
6.000597014925372,5.377896255782888,0.002756315553091594,0.2661016608122221,0.001811365671673275,0.04632837722172935,0.0008282122462657468,0.009611326074150384,0.0008250866066017647
7.000696517412934,5.376014449755925,0.002763241086815631,0.2709085870481138,0.001836282725644835,0.04553719000709180,0.0008391475755110423,0.008374514415655678,0.0008103144086860618
8.000796019900497,5.378203345462008,0.002779243184868836,0.2691431379631091,0.001888306364875915,0.04769258683001507,0.0008265019517285227,0.009419055409074421,0.0008008944592036398
9.000895522388058,5.374757822670230,0.002769476265132774,0.2699386664228329,0.001822684742614842,0.04785323150642325,0.0008151509047531222,0.009405036656127163,0.0008076642271893339
10.00099502487562,5.372574107845264,0.002739825597943952,0.2706564969558016,0.001852822229265744,0.04704305769616927,0.0008390086262565135,0.01059175333191490,0.0007896089610344729
11.00109452736318,5.374916704975400,0.002762486829877542,0.2695544008568295,0.001814729727358280,0.04775764388893193,0.0008582317785570897,0.01108850804627917,0.0007885127794061916
12.00119402985074,5.372980158497153,0.002759855559696310,0.2691723645037534,0.001859999748624946,0.04558104834212421,0.0008496070693512715,0.01017971579432587,0.0008024034517382484
13.00129353233831,5.376621001638346,0.002748320512729148,0.2678351308229032,0.001833057842399825,0.04643822280202282,0.0008523085101418476,0.009953649374502688,0.0008072262750912555
